# from	to	version	name	size	sha256	url
fr	en	2.0	lex.50.50.fren.s2t.bin	4824120	87c6752ea908f5f0347c10ac0cf7d80d9c2f4f20c81c90168f3e8230b56d4440	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/c4d99496-81bf-480f-b0bb-3aebacdcbe8e.bin
fr	en	2.0	model.fren.intgemm.alphas.bin	31561787	15f997bc0d13808b0b0fbd0786e684a3c8a52adcd8071844b76123fdacbf2b90	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/8ef78b1c-df6c-49fc-8cae-cf8c0c2a6630.bin
fr	en	2.0	vocab.fren.spm	814404	783abf3abe075afdf8d85d233994bef2c3a064e935ab1bed946820aff6ac002a	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/11ecb9da-60dd-4b39-aa12-27883099294b.spm
gl	en	2.1	lex.50.50.glen.s2t.bin	4367596	fea6d0e1ea5d5e8e5f7207e4572867fb8f8d8b3f5f983a33067a06b218ab287f	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603153924--06b098f0-ee9c-433c-a08a-1be06e2e94bd--e55fbbc5-18f3-40a2-b7f8-27662b078569.bin
gl	en	2.1	model.glen.intgemm.alphas.bin	31561787	7e8ea0279166c72b0b430327533c643a88f26e80e4a9f9f294244a84213f3e6d	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603153931--1f4f1b9a-7e71-42d8-9c56-81a2054afeb4--213ed8eb-077b-4018-b08a-5c4f229d1680.bin
gl	en	2.1	vocab.glen.spm	827023	5157bf2e08eeac7b98703bf50a14653eab84607bb707a00db81585f61c814a6c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260603153925--0306045a-4e4d-4349-a54b-21746bb9a1a6--beac37c5-ee0d-46e8-96e6-8097aef83613.spm
gu	en	1.0	lex.50.50.guen.s2t.bin	4197836	af01dbec5a1555ddad7c4b19878ecda00e6f9d179ca76a40ab2413de6b081cb0	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/cf25205a-8cdb-4a34-9fab-22f4242a9429.bin
gu	en	1.0	model.guen.intgemm.alphas.bin	17141051	7b16e4e64f2776c73d87db01922c091738566b6a6092a42488cbaee1385cb4ab	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/f91e70e6-4a8e-463d-94da-bcccb60e473b.bin
gu	en	1.0	vocab.guen.spm	965143	6ad2aa442cc04398bd06b4f03a1027939bbfbaac5f87b3d21f667406f4f62704	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/94d4e6e4-acf0-49c7-ac5c-d7fc122f0e62.spm
he	en	1.0	lex.50.50.heen.s2t.bin	4636028	427c88732cb93b28d2a947cace79f62aabceb7d6f4438516e85994b14a73b68e	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/f565a912-e45d-476c-a94d-c69ec0224b25.bin
he	en	1.0	model.heen.intgemm.alphas.bin	17141051	7291cab3ec483b8cf524da96201fe947dca8c550132be21a06badeb946b5c079	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/eb972efb-b367-4196-b695-ff7dc92272a6.bin
he	en	1.0	vocab.heen.spm	845177	45f5d413b9208c5f24340ab0e20a63604a572784d289baa2d788deea946f79a2	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/b8975592-4c98-4b56-8111-83125b8200d1.spm
hi	en	1.0	lex.50.50.hien.s2t.bin	4605984	e789be33dfdb639e98f5cf9eb01aa945ec3c882f68f3c8860389cf846f0112d8	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/d5c8cc93-ccd8-4fc5-9739-1085b6ab25cd.bin
hi	en	1.0	model.hien.intgemm.alphas.bin	17141051	c82fd6ed3794b79fb9dde0718a22324502a408a9eca73497b5d0a4b8024ec6de	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/fe8b6e35-403a-493d-996a-4842e86cf9b7.bin
hi	en	1.0	vocab.hien.spm	925436	9cbc02094ac2ebd75211b3bb6789a9d6fa112ce3c08e897f1645f18b21fbab00	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/ab2371ea-810c-4dcb-bedf-35fb9e07696a.spm
hr	en	1.0	lex.50.50.hren.s2t.bin	3860080	c9ef83603e41f78d41fa601ba9c7196be58518bd964bfe364f325665bc8bc7d0	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/ac72b3bf-3886-4951-bc25-50814d071313.bin
hr	en	1.0	model.hren.intgemm.alphas.bin	17141051	fa6c8220d3f1c41eb75b720859971dbe3acb6bf63691656c58faa4cdc28d918d	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/5fac58c4-3e2f-4bd5-83ed-a79854690eb3.bin
hr	en	1.0	vocab.hren.spm	796159	4e9cc10e8ff4a4ed64fc90b45835385690e55f49b40e8efe471597d2e3a9cd24	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/28050743-d5bd-4407-99f5-8bee12db36fc.spm
hu	en	2.1	lex.50.50.huen.s2t.bin	4847184	9d701f7b9c7472ff0a02154983d67136ef50052b5955fbf32ced0eb8377d235c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143508--2f3354f5-989b-496a-8d6b-96d9271675d6--33a0d936-739f-4b6b-a9a0-21d998639efd.bin
hu	en	2.1	model.huen.intgemm.alphas.bin	31561787	477d9ff69eaaf692e9c87b5bad681748f56da2f81b0dd393665c90f5d6f7d55e	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143505--c63620be-c458-447d-8b75-1058b05837e9--1d4991e8-28d8-461e-bd3c-113346031961.bin
hu	en	2.1	vocab.huen.spm	832895	77f61965a24b93eef9805d32049791b05fdc351ec4b3dfb938995f947390149c	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/20260831143459--515afde6-549a-4d16-832b-8175323fa6aa--125e236b-decd-4454-b58c-6003fdcf2c09.spm
id	en	1.0	lex.50.50.iden.s2t.bin	4050348	7a543087d4e9c1fe2f6b6f735b5e31aeadab80235e734c0388278722042ee3a2	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/b1ef3f20-d635-454f-8936-9d9d9dc52a95.bin
